"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_PT10M_T2M","3660","2023-05-21T00:10:00","10.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T00:20:00","10.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T00:30:00","10.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T00:40:00","9.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T00:50:00","9.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T01:00:00","9.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T01:10:00","9.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T01:20:00","10.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T01:30:00","9.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T01:40:00","9.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T01:50:00","9.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T02:00:00","9.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T02:10:00","9.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T02:20:00","9.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T02:30:00","9.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T02:40:00","9.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T02:50:00","9.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T03:00:00","9.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T03:10:00","9.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T03:20:00","9.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T03:30:00","9.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T03:40:00","9.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T03:50:00","9.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T04:00:00","9.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T04:10:00","9.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T04:20:00","9.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T04:30:00","9.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T04:40:00","9.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T04:50:00","9.5","11","2",
