STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER4_NAME;FAHRER4_VORNAME;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
3;Chri;2;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;19:17:56.818;19:17:56.818;8:13.962;493,962;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.570;N;215;;42.428;N;233;;1:03.098;J;225;;10.422;J;263;;1:46.067;J;206;;35.402;J;246;;2:26.360;J;229;;20.489;N;259;;29.126;N;;;;N;;N;;N;8:13.563;17;N;0;;            ;;1;0;0;0;0;1;1;8:13.563
3;Chri;2;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;19:26:11.756;19:26:11.756;8:14.938;494,938;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.448;J;216;;42.418;J;233;;1:03.357;N;224;;10.447;N;263;;1:46.937;N;206;;35.463;N;245;;2:26.520;N;230;;20.447;J;259;;28.901;J;;;;N;;N;;N;8:13.563;17;N;0;;            ;;2;0;0;0;0;1;2;8:13.563
4;Enge;2;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;19:17:45.745;19:17:45.745;8:12.871;492,871;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.490;N;216;;42.488;J;231;;1:02.836;J;231;;10.277;J;265;;1:45.819;J;205;;35.422;N;244;;2:26.197;N;233;;20.393;J;259;;28.949;N;;;;N;;N;;N;8:12.137;12;N;0;;            ;;1;0;0;0;0;1;1;8:12.137
4;Enge;2;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;19:25:58.202;19:25:58.202;8:12.457;492,457;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.322;J;216;;42.531;N;233;;1:03.003;N;231;;10.277;N;265;;1:45.923;N;206;;35.300;J;245;;2:25.852;J;231;;20.399;N;259;;28.850;J;;;;N;;N;;N;8:12.137;12;N;0;;            ;;2;0;0;0;0;1;2;8:12.137
6;Haup;3;Haupt;Hubert;Dienst;Marvin;Bastian;Nico;Piana;Gabriele;DEU ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;1;19:17:14.235;19:17:14.235;8:12.326;492,326;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.362;N;216;;42.306;J;234;;1:03.049;J;227;;10.363;N;263;;1:45.837;N;206;;35.252;N;247;;2:26.003;N;231;;20.348;N;260;;28.806;J;;;;N;;N;;N;8:11.810;10;N;0;;by HRT      ;;1;0;0;0;0;1;1;8:11.810
6;Haup;3;Haupt;Hubert;Dienst;Marvin;Bastian;Nico;Piana;Gabriele;DEU ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;2;19:25:26.408;19:25:26.408;8:12.173;492,173;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.092;J;218;;42.590;N;232;;1:03.079;N;227;;10.346;J;264;;1:45.716;J;208;;35.230;J;246;;2:25.926;J;232;;20.339;J;260;;28.855;N;;;;N;;N;;N;8:11.810;10;N;0;;by HRT      ;;2;0;0;0;0;1;2;8:11.810
7;Jeff;2;Jefferies;Axcil;Pepper;Jordan;Di Martino;Michele;Hackländer;Maximilian;DEU ;Konrad Motorsport GmbH;PRO-AM                                                      ;Lamborghini Huracan GT3;1;19:20:06.398;19:20:06.398;8:11.462;491,462;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;39.977;N;215;;42.232;J;233;;1:02.641;N;231;;10.279;N;269;;1:45.633;N;205;;35.258;N;246;;2:26.394;N;227;;20.350;J;260;;28.698;J;;;;N;;N;;N;8:10.712;3;N;0;;            ;;1;0;0;0;0;1;1;8:10.712
7;Jeff;2;Jefferies;Axcil;Pepper;Jordan;Di Martino;Michele;Hackländer;Maximilian;DEU ;Konrad Motorsport GmbH;PRO-AM                                                      ;Lamborghini Huracan GT3;2;19:28:17.186;19:28:17.186;8:10.788;490,788;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;39.879;J;217;;42.269;N;232;;1:02.618;J;231;;10.269;J;270;;1:45.620;J;205;;35.192;J;247;;2:25.854;J;230;;20.384;N;260;;28.703;N;;;;N;;N;;N;8:10.712;3;N;0;;            ;;2;0;0;0;0;1;2;8:10.712
12;Marc;3;Marciello;Raffaele;Ellis;Philip;Stolz;Luca;;;CHE ;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;1;19:18:26.223;19:18:26.223;8:11.866;491,866;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.170;J;216;;42.302;J;233;;1:03.110;N;227;;10.347;J;265;;1:45.358;J;206;;35.271;J;246;;2:26.090;J;231;;20.397;N;260;;28.821;J;;;;N;;N;;N;8:11.808;8;N;0;;by HRT      ;;1;0;0;0;0;1;1;8:11.808
12;Marc;3;Marciello;Raffaele;Ellis;Philip;Stolz;Luca;;;CHE ;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;2;19:26:39.711;19:26:39.711;8:13.488;493,488;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.305;N;216;;42.486;N;233;;1:03.063;J;227;;10.354;N;266;;1:45.798;N;206;;35.271;N;246;;2:26.940;N;230;;20.386;J;259;;28.885;N;;;;N;;N;;N;8:11.808;8;N;0;;by HRT      ;;2;0;0;0;0;1;2;8:11.808
