STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER4_NAME;FAHRER4_VORNAME;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Chri;2;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;Groß;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);1;13:00:47.760;13:00:47.760;8:22.198;502,198;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.585;N;214;;43.408;N;234;;1:03.884;J;228;;10.262;J;270;;1:48.202;N;204;;35.833;N;244;;2:29.456;N;227;;20.387;N;262;;29.181;N;;;;N;;N;;N;8:18.478;10;N;0;;            ;;1;0;0;0;0;1;1;8:18.478
1;Chri;2;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;Groß;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);2;13:09:14.449;13:09:14.449;8:26.689;506,689;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.223;N;212;;43.410;N;233;;1:05.922;N;208;;11.572;N;250;;1:48.416;N;205;;35.746;N;244;;2:29.764;N;230;;20.434;N;261;;30.202;N;;;;N;;N;;N;8:18.478;10;N;0;;            ;;2;0;0;0;0;1;2;8:18.478
1;Chri;4;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;Groß;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);3;13:29:52.644;13:29:52.644;8:32.158;512,158;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;43.534;N;212;;43.587;N;232;;1:04.640;N;222;;10.450;N;265;;1:52.159;N;203;;35.740;J;244;;2:31.825;N;229;;20.595;N;258;;29.628;N;;;;N;;N;;N;8:18.478;10;N;0;;            ;;3;0;0;0;0;1;3;8:18.478
1;Chri;4;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;Groß;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);4;13:38:13.128;13:38:13.128;8:20.484;500,484;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.673;J;215;;42.961;J;230;;1:05.477;N;228;;10.306;N;269;;1:47.823;J;203;;36.109;N;244;;2:27.969;J;229;;20.261;J;264;;28.905;J;;;;N;;N;;N;8:18.478;10;N;0;;            ;;4;0;0;0;0;1;4;8:18.478
3;Chri;3;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;13:01:30.655;13:01:30.655;8:39.005;519,005;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.009;N;197;;45.700;N;232;;1:06.891;N;217;;11.588;N;223;;1:51.171;N;203;;36.055;N;240;;2:34.683;N;227;;20.720;N;257;;30.188;N;;;;N;;N;;N;8:21.408;19;N;0;;            ;;1;0;0;0;0;1;1;8:21.408
3;Chri;3;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;13:10:04.788;13:10:04.788;8:34.133;514,133;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.909;N;216;;44.682;N;232;;1:05.338;N;211;;11.113;N;254;;1:49.814;N;204;;35.692;N;235;;2:35.386;N;225;;20.618;N;259;;29.581;J;;;;N;;N;;N;8:21.408;19;N;0;;            ;;2;0;0;0;0;1;2;8:21.408
3;Chri;3;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;3;13:26:44.503;13:26:44.503;8:27.263;507,263;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.892;N;212;;43.119;J;232;;1:06.370;N;177;;11.617;N;252;;1:47.292;N;205;;35.578;J;249;;2:29.949;J;220;;20.609;N;262;;30.837;N;;;;N;;N;;N;8:21.408;19;N;0;;            ;;3;0;0;0;0;1;3;8:21.408
3;Chri;3;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;4;13:35:08.993;13:35:08.993;8:24.490;504,490;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.792;J;215;;44.668;N;233;;1:04.892;J;226;;10.376;J;264;;1:46.731;J;205;;36.265;N;242;;2:30.377;N;230;;20.390;J;260;;29.999;N;;;;N;;N;;N;8:21.408;19;N;0;;            ;;4;0;0;0;0;1;4;8:21.408
4;Enge;1;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;Deut;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;12:47:28.171;12:47:28.171;12:29.072;749,072;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;4:38.082;N;215;;45.029;N;235;;1:06.816;N;221;;10.461;N;265;;1:50.872;N;198;;35.812;N;244;;2:32.127;N;230;;20.540;N;258;;29.333;N;;;;N;;N;;N;8:14.082;5;N;0;;            ;;1;0;0;0;0;1;1;8:14.082
4;Enge;1;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;Deut;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;12:55:47.471;12:55:47.471;8:19.300;499,300;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.667;J;215;;43.741;N;234;;1:03.495;J;230;;10.277;N;267;;1:45.672;J;205;;35.660;N;246;;2:30.484;N;230;;20.523;N;259;;28.781;J;;;;N;;N;;N;8:14.082;5;N;0;;            ;;2;0;0;0;0;1;2;8:14.082
4;Enge;1;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;Deut;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;3;13:04:11.861;13:04:11.861;8:24.390;504,390;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;44.055;N;101;;45.512;N;235;;1:04.573;N;227;;10.317;N;266;;1:48.969;N;205;;35.543;N;245;;2:26.284;J;232;;20.337;N;260;;28.800;N;;;;N;;N;;N;8:14.082;5;N;0;;            ;;3;0;0;0;0;2;1;8:14.082
4;Enge;3;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;Deut;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;4;13:17:00.846;13:17:00.846;12:48.985;768,985;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;4:41.589;N;213;;45.484;N;231;;1:06.010;N;146;;21.162;N;122;;1:53.303;N;205;;35.959;N;242;;2:32.088;N;233;;20.252;J;263;;33.138;N;;;;N;;N;;N;8:14.082;5;N;0;;            ;;4;0;0;0;0;2;2;8:14.082
4;Enge;3;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;Deut;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;5;13:25:25.383;13:25:25.383;8:24.537;504,537;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.243;N;215;;43.447;N;237;;1:05.194;N;225;;10.557;N;257;;1:49.862;N;206;;35.314;J;247;;2:29.489;N;234;;20.462;N;260;;28.969;N;;;;N;;N;;N;8:14.082;5;N;0;;            ;;5;0;0;0;0;3;1;8:14.082
4;Enge;3;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;Deut;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;6;13:33:46.044;13:33:46.044;8:20.661;500,661;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.788;N;217;;43.343;J;233;;1:03.883;N;229;;10.274;J;268;;1:46.134;N;206;;35.606;N;248;;2:31.074;N;232;;20.391;N;260;;29.168;N;;;;N;;N;;N;8:14.082;5;N;0;;            ;;6;0;0;0;0;3;2;8:14.082
4;Enge;2;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;Deut;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;7;13:46:34.250;13:46:34.250;12:48.206;768,206;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;4:47.708;N;215;;55.822;N;193;;1:07.048;N;220;;10.476;N;265;;1:48.392;N;205;;36.910;N;246;;2:30.977;N;232;;20.360;N;259;;30.513;N;;;;N;;N;;N;8:14.082;5;N;0;;            ;;7;0;0;0;0;3;3;8:14.082
5;Kolb;2;Kolb;Vincent;Stippler;Frank;Feller;Ricardo;Van der Linde;Kelvin;Deut;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;12:44:43.321;12:44:43.321;8:45.264;525,264;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;43.265;N;208;;45.395;N;230;;1:08.007;N;224;;10.432;N;266;;1:55.692;N;202;;36.427;N;201;;2:33.955;N;229;;21.551;N;244;;30.540;N;;;;N;;N;;N;8:18.023;17;N;0;;            ;;1;0;0;0;0;1;1;8:18.023
5;Kolb;2;Kolb;Vincent;Stippler;Frank;Feller;Ricardo;Van der Linde;Kelvin;Deut;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;2;12:53:23.862;12:53:23.862;8:40.541;520,541;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.766;N;213;;43.435;N;231;;1:03.920;J;233;;10.199;J;269;;1:47.033;N;203;;35.469;J;241;;2:45.538;N;222;;21.304;N;240;;31.877;N;;;;N;;N;;N;8:18.023;17;N;0;;            ;;2;0;0;0;0;1;2;8:18.023
5;Kolb;1;Kolb;Vincent;Stippler;Frank;Feller;Ricardo;Van der Linde;Kelvin;Deut;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;3;13:11:48.353;13:11:48.353;8:40.569;520,569;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;43.972;N;212;;44.700;N;233;;1:06.337;N;207;;17.326;N;121;;1:51.982;N;202;;35.910;N;245;;2:30.303;N;228;;20.628;N;258;;29.411;N;;;;N;;N;;N;8:18.023;17;N;0;;            ;;3;0;0;0;0;1;3;8:18.023
5;Kolb;1;Kolb;Vincent;Stippler;Frank;Feller;Ricardo;Van der Linde;Kelvin;Deut;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;4;13:20:16.056;13:20:16.056;8:27.703;507,703;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.378;N;211;;44.618;N;232;;1:04.643;N;227;;10.344;N;269;;1:49.552;N;202;;35.940;N;244;;2:31.422;N;227;;20.513;J;260;;29.293;J;;;;N;;N;;N;8:18.023;17;N;0;;            ;;4;0;0;0;0;1;4;8:18.023
5;Kolb;3;Kolb;Vincent;Stippler;Frank;Feller;Ricardo;Van der Linde;Kelvin;Deut;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;5;13:36:00.260;13:36:00.260;8:23.590;503,590;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.182;N;212;;43.341;J;232;;1:04.959;N;216;;10.618;N;267;;1:47.691;N;203;;36.347;N;239;;2:28.287;J;227;;20.590;N;258;;29.575;N;;;;N;;N;;N;8:18.023;17;N;0;;            ;;5;0;0;0;0;1;5;8:18.023
5;Kolb;3;Kolb;Vincent;Stippler;Frank;Feller;Ricardo;Van der Linde;Kelvin;Deut;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;6;13:44:45.003;13:44:45.003;8:44.743;524,743;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.027;J;212;;1:06.617;N;194;;1:05.319;N;233;;10.213;N;269;;1:45.974;J;203;;35.529;N;244;;2:29.940;N;230;;20.698;N;252;;29.426;N;;;;N;;N;;N;8:18.023;17;N;0;;            ;;6;0;0;0;0;1;6;8:18.023
6;Haup;3;Haupt;Hubert;Dienst;Marvin;Bastian;Nico;Piana;Gabriele;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;1;12:41:03.529;12:41:03.529;8:27.850;507,850;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.758;N;215;;44.312;N;232;;1:07.111;N;216;;10.590;N;262;;1:48.471;J;205;;35.668;N;243;;2:28.892;J;229;;20.526;N;259;;29.522;N;;;;N;;N;;N;8:21.641;25;N;0;;            ;;1;0;0;0;0;1;1;8:21.641
6;Haup;3;Haupt;Hubert;Dienst;Marvin;Bastian;Nico;Piana;Gabriele;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;2;12:49:41.676;12:49:41.676;8:38.147;518,147;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.956;J;216;;43.788;N;235;;1:09.830;N;194;;11.002;N;261;;1:49.327;N;205;;35.813;N;245;;2:37.149;N;227;;20.632;N;258;;29.650;N;;;;N;;N;;N;8:21.641;25;N;0;;            ;;2;0;0;0;0;1;2;8:21.641
6;Haup;4;Haupt;Hubert;Dienst;Marvin;Bastian;Nico;Piana;Gabriele;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;3;13:05:13.913;13:05:13.913;8:40.270;520,270;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.705;N;208;;49.022;N;233;;1:08.719;N;211;;10.701;N;260;;1:49.955;N;203;;35.729;N;247;;2:32.981;N;218;;20.882;N;258;;29.576;N;;;;N;;N;;N;8:21.641;25;N;0;;            ;;3;0;0;0;0;1;3;8:21.641
6;Haup;4;Haupt;Hubert;Dienst;Marvin;Bastian;Nico;Piana;Gabriele;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;4;13:13:52.362;13:13:52.362;8:38.449;518,449;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.163;N;214;;43.375;N;234;;1:04.769;J;220;;16.825;N;121;;1:52.142;N;204;;35.444;J;248;;2:35.138;N;225;;20.488;N;261;;29.105;J;;;;N;;N;;N;8:21.641;25;N;0;;            ;;4;0;0;0;0;1;4;8:21.641
6;Haup;4;Haupt;Hubert;Dienst;Marvin;Bastian;Nico;Piana;Gabriele;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;5;13:22:23.199;13:22:23.199;8:30.837;510,837;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.504;N;216;;43.191;J;235;;1:05.357;N;224;;10.377;J;265;;1:52.620;N;204;;36.928;N;233;;2:31.076;N;227;;20.523;N;259;;29.261;N;;;;N;;N;;N;8:21.641;25;N;0;;            ;;5;0;0;0;0;1;5;8:21.641
6;Haup;2;Haupt;Hubert;Dienst;Marvin;Bastian;Nico;Piana;Gabriele;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;6;13:37:46.433;13:37:46.433;8:33.766;513,766;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.081;N;217;;43.697;N;237;;1:06.134;N;219;;10.503;N;263;;1:49.219;N;205;;36.402;N;245;;2:33.716;N;224;;20.511;N;261;;31.503;N;;;;N;;N;;N;8:21.641;25;N;0;;            ;;6;0;0;0;0;1;6;8:21.641
