STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER4_NAME;FAHRER4_VORNAME;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
13;Albr;2;Albrecht;Bernd;Asch;Sebastian;Ecke;Kurt;Sczepansky;Andreas;DEU ;;PRO                                                         ;Dodge  Viper CC GT3;1;11:18:08.140;11:18:08.140;9:55.196;595,196;J;AT                                                          ;0000AT                                                          ;;AT      ;43.889;J;206;;47.125;J;235;;1:09.089;J;205;;10.793;J;268;;1:57.533;J;203;;37.498;J;201;;3:35.131;J;202;;20.635;J;270;;33.503;J;;;;N;;N;;N;9:55.196;22;N;0;;            ;;1;0;0;0;0;1;1;9:55.196
14;Kohl;1;Kohlhaas;Christian;Foster;Nicholas;Szymkowiak;Jules;Bleekemolen;Jeroen;DEU ;racing one GmbH;PRO-AM                                                      ;Ferrari 488 GT3 Evo18;1;11:34:25.936;11:34:25.936;9:28.571;568,571;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;43.666;J;217;;45.485;J;233;;1:11.685;J;195;;11.110;J;259;;1:55.216;J;204;;36.099;J;239;;3:14.177;J;218;;20.682;J;261;;30.451;J;;;;N;;N;;N;9:28.571;17;N;0;;Hella Pagid ;;1;0;0;0;0;1;1;9:28.571
15;van ;3;Van der Linde;Kelvin;Vanthoor;Dries;Vervisch;Frederic;Frijns;Robin;DEU ;Audi Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;11:40:20.815;11:40:20.815;10:00.209;600,209;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.375;J;215;;43.248;J;235;;1:03.593;J;229;;10.344;J;265;;1:48.534;J;180;;42.898;J;210;;3:51.531;J;162;;24.375;J;248;;34.311;J;;;;N;;N;;N;10:00.209;23;N;0;;            ;;1;0;0;0;0;1;1;10:00.209
18;Olse;2;Olsen;Dennis;Bamber;Earl;Tandy;Nick;;;NOR ;KCMG;PRO                                                         ;Porsche 911 GT3R (991 II);1;11:11:13.679;11:11:13.679;9:02.004;542,004;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.679;J;214;;43.761;J;231;;1:04.517;J;222;;10.579;J;261;;1:47.439;J;202;;37.979;J;241;;3:06.002;J;220;;20.723;J;258;;29.325;J;;;;N;;N;;N;9:02.004;11;N;0;;            ;;1;0;0;0;0;1;1;9:02.004
22;Haas;2;Haase;Christopher;Müller;Nico;Niederhauser;Patric;Rast;René;DEU ;Audi Sport Team Car Collection;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;11:11:16.237;11:11:16.237;9:01.387;541,387;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.014;J;215;;45.348;J;231;;1:03.828;J;229;;10.343;J;267;;1:46.965;J;202;;38.100;J;222;;3:04.661;J;216;;20.836;J;259;;29.292;J;;;;N;;N;;N;9:01.387;9;N;0;;Lionspeed by;;1;0;0;0;0;1;1;9:01.387
25;Thys;1;Thyssen;Joachim;Rader;Klaus;Menzel;Nico;Kern;Lars;DEU ;Huber Motorsport;PRO-AM                                                      ;Porsche 911 GT3R (991 II);1;11:23:14.581;11:23:14.581;9:12.328;552,328;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.023;N;215;;44.896;N;232;;1:06.516;N;211;;10.821;N;260;;1:53.722;N;201;;39.521;N;230;;3:04.095;N;214;;20.815;J;263;;29.919;J;;;;N;;N;;N;8:48.184;3;N;0;;            ;;1;0;0;0;0;1;1;8:48.184
25;Thys;4;Thyssen;Joachim;Rader;Klaus;Menzel;Nico;Kern;Lars;DEU ;Huber Motorsport;PRO-AM                                                      ;Porsche 911 GT3R (991 II);2;11:39:43.559;11:39:43.559;9:04.217;544,217;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.429;N;218;;43.692;N;233;;1:06.242;N;211;;10.766;N;253;;1:49.140;N;209;;35.574;N;250;;3:05.507;N;211;;20.845;N;267;;30.022;N;;;;N;;N;;N;8:48.184;3;N;0;;            ;;2;0;0;0;0;1;2;8:48.184
25;Thys;4;Thyssen;Joachim;Rader;Klaus;Menzel;Nico;Kern;Lars;DEU ;Huber Motorsport;PRO-AM                                                      ;Porsche 911 GT3R (991 II);3;11:48:32.692;11:48:32.692;8:49.133;529,133;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.606;J;220;;43.228;J;234;;1:04.775;J;214;;10.711;J;254;;1:48.107;J;206;;35.509;J;247;;2:54.514;J;215;;20.819;N;261;;30.864;N;;;;N;;N;;N;8:48.184;3;N;0;;            ;;3;0;0;0;0;1;3;8:48.184
26;Gros;3;Grossmann;Björn;Trummer;Simon;Hirschi;Jonathan;Ludwig;Luca;CHE ;octane126;PRO                                                         ;Ferrari 488 GT3 Evo20;1;11:32:30.233;11:32:30.233;19:38.312;1178,312;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;11:13.832;N;212;;43.443;N;231;;1:06.401;N;218;;10.602;N;260;;1:48.508;J;202;;38.606;N;229;;3:06.628;N;221;;20.686;N;259;;29.606;N;;;;N;;N;;N;8:48.581;2;N;0;;Serliana    ;;1;0;0;0;0;1;1;8:48.581
26;Gros;3;Grossmann;Björn;Trummer;Simon;Hirschi;Jonathan;Ludwig;Luca;CHE ;octane126;PRO                                                         ;Ferrari 488 GT3 Evo20;2;11:41:19.077;11:41:19.077;8:48.844;528,844;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.833;J;216;;42.920;J;232;;1:04.634;J;223;;10.446;J;263;;1:48.771;N;203;;36.416;J;242;;2:54.932;J;228;;20.456;J;261;;29.436;J;;;;N;;N;;N;8:48.581;2;N;0;;Serliana    ;;2;0;0;0;0;1;2;8:48.581
27;Andl;2;Andlauer;Julien;Campbell;Matt;Jaminet;Matthieu;;;FRA ;Toksport WRT;PRO                                                         ;Porsche 911 GT3R (991 II);1;11:21:27.401;11:21:27.401;11:43.543;703,543;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;3:26.584;J;216;;45.068;J;231;;1:04.899;J;217;;10.638;J;260;;1:48.581;J;205;;38.824;J;240;;2:56.863;J;218;;20.771;J;259;;31.315;J;;;;N;;N;;N;11:43.543;37;N;0;;Julien Andla;;1;0;0;0;0;1;1;11:43.543
