STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER4_NAME;FAHRER4_VORNAME;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Chri;4;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);1;14:40:37.794;14:40:37.794;8:17.591;497,591;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.330;N;218;;42.849;J;235;;1:03.727;J;228;;10.299;J;269;;1:46.596;J;205;;35.218;J;250;;2:28.248;N;230;;20.362;N;261;;28.962;N;;;;N;;N;;N;8:15.205;11;N;0;;            ;;1;0;0;0;0;1;1;8:15.205
1;Chri;4;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);2;14:48:57.408;14:48:57.408;8:19.614;499,614;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.209;J;216;;45.001;N;235;;1:03.884;N;227;;10.309;N;271;;1:47.220;N;205;;35.278;N;246;;2:28.604;N;232;;20.302;J;262;;28.807;J;;;;N;;N;;N;8:15.205;11;N;0;;            ;;2;0;0;0;0;1;2;8:15.205
1;Chri;1;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);3;15:09:15.377;15:09:15.377;20:17.969;1217,969;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;12:19.791;N;213;;43.274;N;234;;1:04.842;N;195;;11.101;N;260;;2:05.907;N;205;;35.382;N;230;;2:28.358;N;230;;20.414;N;260;;28.900;N;;;;N;;N;;N;8:15.205;11;N;0;;            ;;3;0;0;0;0;1;3;8:15.205
1;Chri;1;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);4;15:17:57.263;15:17:57.263;8:41.886;521,886;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.999;N;214;;42.946;N;235;;1:03.728;N;225;;10.376;N;269;;2:11.791;N;204;;35.346;N;246;;2:27.198;J;225;;20.484;N;261;;29.018;N;;;;N;;N;;N;8:15.205;11;N;0;;            ;;4;0;0;0;0;2;1;8:15.205
3;Chri;2;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;14:40:09.470;14:40:09.470;8:19.049;499,049;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.940;J;216;;42.461;J;235;;1:03.875;N;221;;10.497;N;262;;1:46.820;N;206;;35.407;N;248;;2:28.804;N;230;;20.454;J;259;;29.791;N;;;;N;;N;;N;8:16.190;20;N;0;;            ;;1;0;0;0;0;1;1;8:16.190
3;Chri;2;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;14:54:04.910;14:54:04.910;8:27.547;507,547;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.571;N;214;;42.630;N;233;;1:03.604;J;224;;10.461;J;262;;1:56.102;N;207;;35.423;N;247;;2:27.822;N;230;;20.551;N;258;;29.383;N;;;;N;;N;;N;8:16.190;20;N;0;;            ;;2;0;0;0;0;1;2;8:16.190
3;Chri;1;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;3;15:07:29.847;15:07:29.847;13:24.937;804,937;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;5:47.332;N;213;;43.465;N;234;;1:04.857;N;222;;10.465;N;262;;1:46.527;J;205;;35.245;J;248;;2:27.522;J;230;;20.548;N;258;;28.976;J;;;;N;;N;;N;8:16.190;20;N;0;;            ;;3;0;0;0;0;1;3;8:16.190
4;Enge;1;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;14:20:38.937;14:20:38.937;8:44.069;524,069;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.772;N;213;;42.644;J;233;;1:08.437;N;183;;11.609;N;250;;1:52.412;N;203;;36.185;N;244;;2:35.907;N;220;;20.908;N;253;;34.195;N;;;;N;;N;;N;8:14.662;22;N;0;;            ;;1;0;0;0;0;1;1;8:14.662
4;Enge;1;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;14:45:10.579;14:45:10.579;8:15.915;495,915;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.426;N;214;;42.819;N;233;;1:03.726;N;226;;10.403;N;263;;1:45.746;J;205;;35.485;J;245;;2:26.594;J;230;;20.650;N;256;;;N;;;;N;;N;;N;8:14.662;22;N;1;;            ;;2;0;0;0;0;1;2;8:14.662
4;Enge;2;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;3;15:00:40.357;15:00:40.357;8:23.387;503,387;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.804;N;213;;43.053;N;233;;1:03.430;J;225;;10.395;N;265;;1:48.723;N;205;;35.602;N;245;;2:30.863;N;229;;20.374;J;260;;29.143;N;;;;N;;N;;N;8:14.662;22;N;0;;            ;;3;0;0;0;0;1;3;8:14.662
