STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER4_NAME;FAHRER4_VORNAME;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
18;Olse;2;Olsen;Dennis;Bamber;Earl;Tandy;Nick;;;NOR ;KCMG;PRO                                                         ;Porsche 911 GT3R (991 II);1;18:18:40.526;18:18:40.526;8:14.541;494,541;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.326;J;215;;42.637;J;233;;1:03.074;J;230;;10.319;J;265;;1:47.508;J;205;;35.492;J;244;;2:26.026;J;230;;20.316;N;263;;28.843;J;;;;N;;N;;N;8:14.533;11;N;0;;            ;;1;0;0;0;0;1;1;8:14.533
18;Olse;2;Olsen;Dennis;Bamber;Earl;Tandy;Nick;;;NOR ;KCMG;PRO                                                         ;Porsche 911 GT3R (991 II);2;18:27:24.058;18:27:24.058;8:43.532;523,532;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.373;N;215;;42.719;N;234;;1:21.906;N;206;;10.799;N;261;;1:51.168;N;207;;35.886;N;247;;2:30.960;N;227;;20.308;J;264;;29.413;N;;;;N;;N;;N;8:14.533;11;N;0;;            ;;2;0;0;0;0;1;2;8:14.533
20; Kro;1;Krohn;Jesse;Sims;Alexander;Klingmann;Jens;Krütten;Niklas;FIN ;Schubert Motorsport;PRO                                                         ;BMW M4 GT3;1;18:18:11.640;18:18:11.640;8:12.883;492,883;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.470;J;214;;42.454;J;234;;1:02.970;J;232;;10.258;N;266;;1:45.934;J;206;;35.420;J;244;;2:26.110;J;232;;20.360;J;260;;28.907;J;;;;N;;N;;N;8:12.863;5;N;0;;            ;;1;0;0;0;0;1;1;8:12.863
20; Kro;1;Krohn;Jesse;Sims;Alexander;Klingmann;Jens;Krütten;Niklas;FIN ;Schubert Motorsport;PRO                                                         ;BMW M4 GT3;2;18:26:41.471;18:26:41.471;8:29.831;509,831;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.562;N;215;;42.551;N;235;;1:18.201;N;232;;10.238;J;266;;1:46.162;N;204;;35.534;N;244;;2:27.218;N;231;;20.423;N;261;;28.942;N;;;;N;;N;;N;8:12.863;5;N;0;;            ;;2;0;0;0;0;1;2;8:12.863
21;Putm;2;Putman;Charles;Espenlaub;Charles;Foster;Joe;Lewis;Shane;USA ;CP Racing;PRO-AM                                                      ;Mercedes-AMG GT3;1;18:18:30.332;18:18:30.332;8:27.361;507,361;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.035;N;214;;43.568;J;232;;1:04.949;J;220;;10.515;J;261;;1:49.255;N;205;;35.788;N;245;;2:32.387;N;225;;20.608;N;258;;29.256;N;;;;N;;N;;N;8:26.869;17;N;0;;            ;;1;0;0;0;0;1;1;8:26.869
21;Putm;2;Putman;Charles;Espenlaub;Charles;Foster;Joe;Lewis;Shane;USA ;CP Racing;PRO-AM                                                      ;Mercedes-AMG GT3;2;18:27:12.301;18:27:12.301;8:41.969;521,969;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.881;J;215;;43.719;N;232;;1:19.862;N;221;;10.551;N;260;;1:49.147;J;206;;35.733;J;247;;2:32.263;J;226;;20.575;J;258;;29.238;J;;;;N;;N;;N;8:26.869;17;N;0;;            ;;2;0;0;0;0;1;2;8:26.869
27;Andl;3;Andlauer;Julien;Campbell;Matt;Jaminet;Matthieu;;;FRA ;Toksport WRT;PRO                                                         ;Porsche 911 GT3R (991 II);1;18:19:38.077;18:19:38.077;8:12.672;492,672;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.026;J;216;;42.541;J;233;;1:03.155;J;225;;10.391;J;265;;1:45.997;N;205;;35.490;N;244;;2:26.154;J;231;;20.316;J;262;;28.602;J;;;;N;;N;;N;8:12.357;3;N;0;;Julien Andla;;1;0;0;0;0;1;1;8:12.357
27;Andl;3;Andlauer;Julien;Campbell;Matt;Jaminet;Matthieu;;;FRA ;Toksport WRT;PRO                                                         ;Porsche 911 GT3R (991 II);2;18:27:52.080;18:27:52.080;8:14.003;494,003;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.075;N;216;;42.828;N;232;;1:03.591;N;225;;10.394;N;264;;1:45.878;J;208;;35.294;J;244;;2:26.882;N;230;;20.353;N;262;;28.708;N;;;;N;;N;;N;8:12.357;3;N;0;;Julien Andla;;2;0;0;0;0;1;2;8:12.357
28;Enge;2;Engelhart;Christian;Cairoli;Matteo;Ledogar;Come;Preining;Thomas;DEU ;DINAMIC MOTORSPORT SRL;PRO                                                         ;Porsche 911 GT3R (991 II);1;18:20:02.526;18:20:02.526;8:12.688;492,688;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.214;N;216;;42.493;J;234;;1:02.797;J;226;;10.349;J;268;;1:45.934;J;206;;35.319;J;244;;2:26.564;J;230;;20.289;J;262;;28.729;J;;;;N;;N;;N;8:12.639;4;N;0;;            ;;1;0;0;0;0;1;1;8:12.639
28;Enge;2;Engelhart;Christian;Cairoli;Matteo;Ledogar;Come;Preining;Thomas;DEU ;DINAMIC MOTORSPORT SRL;PRO                                                         ;Porsche 911 GT3R (991 II);2;18:28:22.549;18:28:22.549;8:20.023;500,023;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.165;J;216;;43.194;N;234;;1:04.813;N;216;;10.595;N;265;;1:47.971;N;206;;35.447;N;244;;2:28.514;N;231;;20.301;N;262;;29.023;N;;;;N;;N;;N;8:12.639;4;N;0;;            ;;2;0;0;0;0;1;2;8:12.639
